fueltype,carbody,drivewheel,enginelocation,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,price,Make
gas,convertible,rwd,front,dohc,four,130,mpfi,111,13495.0,alfa-romero
gas,convertible,rwd,front,dohc,four,130,mpfi,111,16500.0,alfa-romero
gas,hatchback,rwd,front,ohcv,six,152,mpfi,154,16500.0,alfa-romero
gas,sedan,fwd,front,ohc,four,109,mpfi,102,13950.0,audi
gas,sedan,4wd,front,ohc,five,136,mpfi,115,17450.0,audi
gas,sedan,fwd,front,ohc,five,136,mpfi,110,15250.0,audi
gas,sedan,fwd,front,ohc,five,136,mpfi,110,17710.0,audi
gas,wagon,fwd,front,ohc,five,136,mpfi,110,18920.0,audi
gas,sedan,fwd,front,ohc,five,131,mpfi,140,23875.0,audi
gas,hatchback,4wd,front,ohc,five,131,mpfi,160,17859.167,audi
gas,sedan,rwd,front,ohc,four,108,mpfi,101,16430.0,bmw
gas,sedan,rwd,front,ohc,four,108,mpfi,101,16925.0,bmw
gas,sedan,rwd,front,ohc,six,164,mpfi,121,20970.0,bmw
gas,sedan,rwd,front,ohc,six,164,mpfi,121,21105.0,bmw
gas,sedan,rwd,front,ohc,six,164,mpfi,121,24565.0,bmw
gas,sedan,rwd,front,ohc,six,209,mpfi,182,30760.0,bmw
gas,sedan,rwd,front,ohc,six,209,mpfi,182,41315.0,bmw
gas,sedan,rwd,front,ohc,six,209,mpfi,182,36880.0,bmw
gas,hatchback,fwd,front,l,three,61,2bbl,48,5151.0,chevrolet
gas,hatchback,fwd,front,ohc,four,90,2bbl,70,6295.0,chevrolet
gas,sedan,fwd,front,ohc,four,90,2bbl,70,6575.0,chevrolet
gas,hatchback,fwd,front,ohc,four,90,2bbl,68,5572.0,dodge
gas,hatchback,fwd,front,ohc,four,90,2bbl,68,6377.0,dodge
gas,hatchback,fwd,front,ohc,four,98,mpfi,102,7957.0,dodge
gas,hatchback,fwd,front,ohc,four,90,2bbl,68,6229.0,dodge
gas,sedan,fwd,front,ohc,four,90,2bbl,68,6692.0,dodge
gas,sedan,fwd,front,ohc,four,90,2bbl,68,7609.0,dodge
gas,sedan,fwd,front,ohc,four,98,mpfi,102,8558.0,dodge
gas,wagon,fwd,front,ohc,four,122,2bbl,88,8921.0,dodge
gas,hatchback,fwd,front,ohc,four,156,mfi,145,12964.0,dodge
gas,hatchback,fwd,front,ohc,four,92,1bbl,58,6479.0,honda
gas,hatchback,fwd,front,ohc,four,92,1bbl,76,6855.0,honda
gas,hatchback,fwd,front,ohc,four,79,1bbl,60,5399.0,honda
gas,hatchback,fwd,front,ohc,four,92,1bbl,76,6529.0,honda
gas,hatchback,fwd,front,ohc,four,92,1bbl,76,7129.0,honda
gas,sedan,fwd,front,ohc,four,92,1bbl,76,7295.0,honda
gas,wagon,fwd,front,ohc,four,92,1bbl,76,7295.0,honda
